Year,Month,State,Deforestation_Level,Total_Precipitation_Level,Atmospheric_Pressure_Station_Level,Global_Radiation_Level,Air_Temperature_Level,Max_Air_Temperature_Level,Min_Air_Temperature_Level,Relative_Humidity_Level,Max_Relative_Humidity_Level,Min_Relative_Humidity_Level,Hourly_Wind_Speed_Level,Max_Wind_Gust_Level
2023,10,MS,High,Low,Low,Low,High,Medium,Low,High,Low,Medium,High,High
2023,11,MS,High,Medium,Low,Low,High,Medium,Low,High,Low,Low,High,High
2023,12,MS,Medium,High,Low,Low,High,Medium,Medium,High,High,Medium,High,High
2002,12,MT,Critical,Low,Medium,Low,High,Medium,High,High,Medium,High,High,High
2003,1,MT,Critical,Medium,Medium,High,High,High,High,High,High,High,High,Medium
2003,2,MT,Critical,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High
2003,3,MT,Critical,Medium,Medium,High,Medium,High,Medium,Medium,High,High,Low,Medium
2003,4,MT,Critical,Medium,Medium,High,Medium,High,Low,Medium,High,Medium,Low,High
2003,5,MT,Critical,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Low,Medium
2003,6,MT,Critical,Low,Medium,High,Medium,Medium,Low,Medium,Low,Low,Low,Low
2003,7,MT,Critical,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Medium
2003,8,MT,Critical,Low,Medium,High,Medium,Low,Low,Medium,Low,Low,Medium,High
2003,9,MT,Critical,Low,Medium,High,High,Medium,Low,High,Medium,Low,Medium,High
2003,10,MT,Critical,Low,Medium,High,High,High,Medium,High,Medium,Medium,Medium,High
2003,11,MT,Critical,High,Medium,High,High,High,Medium,High,Medium,Low,Medium,High
2003,12,MT,Critical,Medium,Medium,High,High,High,Medium,High,High,High,Low,High
2004,1,MT,Critical,High,Medium,High,High,High,High,High,High,High,Medium,Medium
2004,2,MT,Critical,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Low,Medium
2004,3,MT,Critical,Low,Medium,High,High,High,Medium,High,High,Medium,Low,High
2004,4,MT,Critical,Low,Medium,High,High,High,Medium,Medium,High,High,Low,Medium
2004,5,MT,Critical,Low,Medium,High,Low,Medium,Low,Low,Medium,Medium,Low,Medium
2004,6,MT,Critical,Low,Medium,High,Low,Low,Low,Low,Low,Low,Low,Medium
2004,7,MT,Critical,Low,Medium,High,Low,Medium,Low,Low,Low,Low,Low,High
2004,8,MT,Critical,Low,Medium,High,Medium,Low,Low,Medium,Low,Low,Low,High
2004,9,MT,Critical,Low,Medium,High,High,Medium,Low,High,Low,Low,Medium,High
2004,10,MT,Critical,Medium,Medium,High,High,Medium,Medium,High,Medium,Low,Medium,High
2004,11,MT,Critical,High,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High
2004,12,MT,Critical,High,Medium,High,High,High,Medium,High,Medium,Medium,Medium,Medium
2005,1,MT,Critical,Medium,Medium,High,High,High,High,High,High,High,Medium,High
2005,2,MT,Critical,High,Medium,High,High,High,Medium,High,High,Medium,Low,Medium
2005,3,MT,Critical,High,Medium,High,High,High,Medium,High,High,High,Low,High
2005,4,MT,Critical,Medium,Medium,High,Medium,High,Low,Medium,High,Medium,Low,High
2005,5,MT,Critical,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High
2005,6,MT,Critical,Low,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,High
2005,7,MT,Critical,Low,Medium,High,Low,Low,Low,Low,Low,Low,Medium,High
2005,8,MT,Critical,Low,Medium,High,Medium,Low,Low,Medium,Low,Low,Low,High
2005,9,MT,Critical,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High
2005,10,MT,Critical,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High
2005,11,MT,Critical,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High
2005,12,MT,Critical,Medium,Medium,High,High,High,Medium,High,High,High,Medium,High
2006,1,MT,Critical,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium
2006,2,MT,Critical,High,Medium,High,High,High,Medium,Medium,High,Medium,Medium,High
2006,3,MT,Critical,High,Medium,High,High,High,High,High,High,High,Low,High
2006,4,MT,Critical,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Low,Medium
2006,5,MT,Critical,Low,Medium,High,Low,Low,Low,Low,Low,Low,Low,Low
2006,6,MT,Critical,Low,Medium,High,Medium,Low,Low,Medium,Low,Low,Low,Low
2006,7,MT,Critical,Low,Medium,High,Medium,Low,Low,Low,Low,Low,Low,High
2006,8,MT,Critical,Low,Medium,High,High,Medium,Low,Medium,Low,Low,Medium,Medium
2006,9,MT,Critical,Medium,Medium,High,High,Medium,Low,High,Medium,Low,Medium,High
2006,10,MT,Critical,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Medium
2006,11,MT,Critical,Low,Medium,High,High,High,Medium,High,High,Low,Medium,Medium
2006,12,MT,Critical,Medium,Medium,High,High,High,High,High,Medium,High,High,Medium
2007,1,MT,Critical,High,Medium,High,High,High,High,High,High,High,Medium,High
2007,2,MT,Critical,High,Medium,High,Medium,High,Medium,Medium,High,High,Low,Medium
2007,3,MT,Critical,High,Medium,High,High,Medium,Medium,High,High,Medium,Low,High
2007,4,MT,Critical,Medium,Medium,High,High,High,Medium,High,Medium,Medium,Low,High
2007,5,MT,Critical,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium
2007,6,MT,Critical,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Medium
2007,7,MT,Critical,Low,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,High
2007,8,MT,Critical,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low
2007,9,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,High
2007,10,MT,Critical,High,Medium,Medium,High,Medium,Medium,High,Medium,Low,Low,High
2007,11,MT,Critical,High,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High
2007,12,MT,Critical,High,Medium,High,High,Medium,Medium,High,High,Medium,Medium,High
2008,1,MT,High,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High
2008,2,MT,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,High,Medium,High
2008,3,MT,High,Medium,Medium,High,High,High,Medium,Medium,High,Medium,Low,High
2008,4,MT,Critical,Low,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium
2008,5,MT,Critical,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium
2008,6,MT,Critical,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low
2008,7,MT,Critical,Low,Medium,Medium,High,Low,Medium,High,Low,Low,Low,Low
2008,8,MT,Critical,Low,Medium,Low,High,Low,Medium,High,Low,Low,Low,Low
2008,9,MT,Critical,Low,Medium,Low,High,Low,Low,High,Low,Low,Low,High
2008,10,MT,Critical,Low,Medium,Low,High,Medium,Medium,High,Medium,Low,Medium,High
2008,11,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,High
2008,12,MT,High,High,Medium,Low,High,High,Low,High,High,Low,Medium,Medium
2009,1,MT,High,Medium,Medium,Low,High,High,Medium,High,High,Low,Medium,High
2009,2,MT,High,High,Medium,Low,High,High,Medium,High,Medium,High,Low,Medium
2009,3,MT,High,High,Medium,Low,High,High,High,High,High,Medium,High,Medium
2009,4,MT,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low,High,Low
2009,5,MT,Critical,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Low
2009,6,MT,Critical,Low,Medium,Low,Low,Low,Low,Low,Low,Low,High,Low
2009,7,MT,Critical,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,High,Low
2009,8,MT,Critical,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,High,Low
2009,9,MT,Critical,Medium,Medium,Low,High,Medium,Low,High,Medium,Medium,High,Low
2009,10,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,High,Medium,High,Low
2009,11,MT,High,Medium,Medium,Low,High,High,Medium,High,High,Medium,High,Low
2009,12,MT,High,High,Medium,Low,High,Medium,High,High,High,High,High,Low
2010,1,MT,Critical,High,Medium,Low,High,High,High,High,High,High,High,Low
2010,2,MT,Critical,High,Medium,Low,High,High,Medium,High,High,Medium,High,Low
2010,3,MT,Critical,High,Medium,Low,High,High,High,High,High,High,High,Low
2010,4,MT,Critical,Medium,Medium,Low,Medium,High,Low,Medium,High,Medium,High,Low
2010,5,MT,Critical,Low,Medium,Low,High,Medium,Medium,High,Medium,Low,High,Low
2010,6,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium,Low
2010,7,MT,Critical,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium
2010,8,MT,Critical,Low,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,High
2010,9,MT,Critical,Low,Medium,Medium,High,Medium,Medium,High,Medium,Low,Medium,High
2010,10,MT,Critical,Low,Medium,Low,Low,Medium,Medium,Low,Medium,Medium,Low,High
2010,11,MT,Critical,Low,Medium,Low,Medium,Low,High,Medium,Low,High,Low,Low
2010,12,MT,Critical,Low,Medium,Low,Medium,Low,High,Medium,Low,Medium,Low,Low
2011,1,MT,High,Low,Medium,Low,Medium,Low,High,Medium,Low,Medium,Low,Low
2011,2,MT,High,Low,Low,Medium,Medium,Low,High,Medium,Low,Medium,Low,Low
2011,3,MT,High,Low,Low,Medium,High,Low,High,High,Low,Medium,Low,Low
2011,4,MT,Critical,Low,Low,Medium,High,Low,High,High,Low,Medium,Low,Low
2011,5,MT,Critical,Low,Low,Medium,High,Low,Medium,High,Low,Low,Low,Low
2011,6,MT,Critical,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low
2011,7,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,Low
2011,8,MT,Critical,Low,Low,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low
2011,9,MT,Critical,Low,Low,Medium,High,Low,Medium,High,Low,Low,High,High
2011,10,MT,Critical,Medium,Low,Medium,High,Medium,Medium,High,High,Low,Medium,High
2011,11,MT,Critical,Medium,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2011,12,MT,High,Medium,Low,Medium,High,Medium,Medium,High,Medium,Low,Medium,Medium
2012,1,MT,Critical,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2012,2,MT,Critical,High,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High
2012,3,MT,Critical,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium
2012,4,MT,Critical,Medium,Low,Low,Medium,Medium,Low,Medium,High,Medium,Low,Medium
2012,5,MT,Critical,High,Low,Low,Medium,Medium,Low,Medium,High,Medium,Low,Medium
2012,6,MT,Critical,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,High
2012,7,MT,Critical,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2012,8,MT,Critical,Low,Low,Low,High,Low,Low,High,Low,Low,Medium,Medium
2012,9,MT,Critical,Low,Low,Medium,High,Medium,Low,High,Low,Low,Medium,Medium
2012,10,MT,Critical,Low,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High
2012,11,MT,Critical,High,Low,Low,High,High,Medium,High,High,Medium,Medium,Medium
2012,12,MT,Critical,High,Low,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium
2013,1,MT,High,High,Low,Low,Medium,High,High,Medium,High,High,Medium,Low
2013,2,MT,High,Medium,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
2013,3,MT,High,High,Low,Medium,High,High,Medium,High,Medium,Medium,Low,Medium
2013,4,MT,High,Medium,Low,Low,Medium,High,Medium,Medium,Medium,Medium,Low,Low
2013,5,MT,Critical,Medium,Low,Low,Medium,Medium,Low,Medium,Medium,Low,Low,Low
2013,6,MT,Critical,Low,Low,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,High
2013,7,MT,Critical,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low
2013,8,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,Medium
2013,9,MT,Critical,Low,Low,Medium,High,Low,Low,High,Low,Low,Medium,Medium
2013,10,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Medium,Medium,High
2013,11,MT,High,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2013,12,MT,High,High,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low
2014,1,MT,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium
2014,2,MT,High,High,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Low,High
2014,3,MT,High,High,Low,Low,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium
2014,4,MT,Critical,High,Low,Low,High,Medium,Medium,High,Medium,Medium,Low,Low
2014,5,MT,Critical,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low
2014,6,MT,Critical,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low
2014,7,MT,Critical,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium
2014,8,MT,Critical,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Medium
2014,9,MT,Critical,Low,Low,Low,High,Medium,Medium,High,Low,Low,Medium,Low
2014,10,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Low,Medium,High
2014,11,MT,Critical,High,Low,Low,High,Medium,Medium,High,Medium,Medium,Medium,Low
2014,12,MT,High,High,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
2015,1,MT,High,Medium,Low,Low,High,Medium,Medium,Medium,Medium,Medium,Low,High
2015,2,MT,High,Low,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
2015,3,MT,High,High,Low,Low,Medium,High,Medium,Medium,High,High,Low,Low
2015,4,MT,Critical,Medium,Low,Low,Medium,Medium,Medium,Medium,High,High,Low,Medium
2015,5,MT,Critical,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low
2015,6,MT,Critical,Low,Low,Low,Medium,Medium,Low,Medium,Low,Low,Low,Low
2015,7,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2015,8,MT,Critical,Low,Low,Low,High,Low,Medium,High,Low,Low,Medium,Low
2015,9,MT,Critical,Low,Low,Low,High,Medium,Low,High,Medium,Low,Medium,Medium
2015,10,MT,Critical,Low,Low,Low,High,Medium,Low,High,Medium,Low,Medium,Medium
2015,11,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Low,Medium,High
2015,12,MT,High,Medium,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2016,1,MT,Critical,High,Low,Low,Medium,High,Medium,Medium,High,Medium,Medium,Low
2016,2,MT,Critical,Low,Low,High,High,Medium,Medium,High,High,High,High,Low
2016,3,MT,Critical,High,Low,Low,High,High,Medium,High,High,Medium,Low,Low
2016,4,MT,Critical,High,Low,Low,Medium,High,High,Medium,High,Medium,Medium,Low
2016,5,MT,Critical,Medium,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low
2016,6,MT,Critical,Low,Medium,Low,Low,Medium,Low,Low,Medium,Low,Low,Low
2016,7,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium
2016,8,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,High
2016,9,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,Medium
2016,10,MT,Critical,High,Low,Low,High,Medium,Low,High,Medium,Low,Medium,Medium
2016,11,MT,Critical,High,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2016,12,MT,Critical,High,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium
2017,1,MT,Critical,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium
2017,2,MT,Critical,High,Low,Low,Medium,High,Medium,Medium,High,High,Low,Medium
2017,3,MT,Critical,High,Low,Low,Medium,Medium,Medium,Medium,High,Medium,Low,Medium
2017,4,MT,Critical,Medium,Low,Low,Medium,High,Medium,Medium,High,Medium,Low,Low
2017,5,MT,Critical,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low
2017,6,MT,Critical,Low,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Medium
2017,7,MT,Critical,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low
2017,8,MT,Critical,Low,Low,Low,High,Medium,Low,High,Low,Low,Medium,Medium
2017,9,MT,Critical,Low,Low,Low,High,Low,Medium,High,Low,Low,Medium,Low
2017,10,MT,Critical,Low,Low,Low,High,Medium,Medium,High,Medium,Medium,Medium,High
2017,11,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Medium,Medium,Low
2017,12,MT,Critical,High,Low,Medium,High,Medium,Medium,High,High,High,Medium,Low
2018,1,MT,High,Medium,Low,Low,High,Medium,Medium,High,High,Medium,Medium,Low
2018,2,MT,High,High,Low,Low,Medium,High,Medium,Medium,High,High,Low,Low
2018,3,MT,High,Medium,Low,Low,High,High,High,High,High,Medium,Low,Low
2018,4,MT,Critical,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low
2018,5,MT,Critical,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Low,Low,Low
2018,6,MT,Critical,Low,Low,Low,Low,Low,Low,Low,Medium,Low,Low,Low
2018,7,MT,Critical,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low
2018,8,MT,Critical,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Medium,Low
2018,9,MT,Critical,Medium,Low,Low,High,Medium,Low,High,Low,Low,Medium,Medium
2018,10,MT,Critical,Medium,Low,Medium,High,Medium,High,High,Medium,Medium,Medium,Low
2018,11,MT,Critical,High,Low,Medium,High,High,Medium,High,High,High,Medium,Low
2018,12,MT,High,High,Low,Medium,High,Medium,Medium,High,High,Medium,Low,Low
2019,1,MT,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low
2019,2,MT,High,Medium,Low,Low,High,High,Medium,High,High,Medium,Medium,Low
2019,3,MT,High,Medium,Low,Low,High,Medium,Medium,High,High,Medium,Low,Medium
2019,4,MT,Critical,High,Low,Low,Medium,High,Medium,Medium,High,High,Low,Low
2019,5,MT,Critical,Medium,Low,Low,Medium,Medium,Low,Medium,High,Medium,Low,Medium
2019,6,MT,Critical,Low,Low,Low,Medium,Low,Medium,Medium,Low,Low,Low,Low
2019,7,MT,Critical,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low
2019,8,MT,Critical,Low,Low,High,High,Low,High,High,Low,Low,Low,Low
2019,9,MT,Critical,Medium,Low,Medium,High,Medium,High,High,Low,Low,Medium,Low
2019,10,MT,Critical,High,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High
2019,11,MT,Critical,Medium,Low,High,High,Medium,High,High,High,Medium,Medium,Medium
2019,12,MT,High,Medium,Medium,High,High,Medium,High,High,Medium,Medium,Medium,Medium
2020,1,MT,Critical,Medium,Low,Low,High,Medium,High,High,Medium,Medium,Medium,Medium
2020,2,MT,Critical,High,Medium,Low,High,High,High,High,High,Medium,Medium,Low
2020,3,MT,Critical,Medium,Medium,Low,High,Medium,High,High,Medium,Medium,Low,Medium
2020,4,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Low,Low
2020,5,MT,Critical,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2020,6,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2020,7,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2020,8,MT,Critical,Low,Medium,Low,High,Low,Low,High,Low,Low,Low,Medium
2020,9,MT,Critical,Low,Medium,Low,High,Low,Medium,High,Low,Low,Low,Low
2020,10,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Low,Medium,High
2020,11,MT,Critical,Medium,Low,Low,High,Medium,Medium,High,Medium,Low,Medium,Low
2020,12,MT,Critical,Medium,Low,Low,High,Medium,High,High,Medium,Medium,Medium,High
2021,1,MT,Critical,High,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2021,2,MT,Critical,Medium,Low,Low,High,Medium,High,High,Medium,Medium,Low,Medium
2021,3,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2021,4,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Low,Medium
2021,5,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium
2021,6,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2021,7,MT,Critical,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low
2021,8,MT,Critical,Low,Medium,Low,High,Low,Low,High,Low,Low,Low,Low
2021,9,MT,Critical,Low,Medium,Low,High,Medium,Medium,High,Medium,Low,Medium,Medium
2021,10,MT,Critical,Medium,Medium,Low,High,Low,Medium,High,Low,Medium,Medium,High
2021,11,MT,Critical,High,Low,Low,High,Medium,Medium,High,Medium,Medium,Medium,High
2021,12,MT,Critical,High,Low,Low,High,Medium,High,High,High,Medium,Medium,Low
2022,1,MT,Critical,High,Low,Low,High,Medium,High,High,Medium,Medium,Medium,Low
2022,2,MT,Critical,High,Medium,Low,High,High,High,High,High,Medium,Medium,Low
2022,3,MT,Critical,Low,Medium,Low,High,Medium,High,High,Medium,Medium,Medium,Low
2022,4,MT,Critical,Low,Medium,Low,High,Medium,Medium,High,Medium,Medium,Low,Medium
2022,5,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2022,6,MT,Critical,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low
2022,7,MT,Critical,Low,Medium,Low,High,Low,Low,High,Low,Low,Low,Low
2022,8,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium
2022,9,MT,Critical,Medium,Medium,Low,High,Low,Medium,High,Medium,Low,Medium,Medium
2022,10,MT,Critical,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,Medium
2022,11,MT,Critical,Medium,Medium,Low,High,Medium,Low,High,Low,Low,Medium,Medium
2022,12,MT,Critical,Medium,Low,Low,High,Medium,High,High,Medium,Medium,High,Low
2023,1,MT,High,High,Medium,Low,High,Medium,High,High,Medium,Medium,High,Low
2023,2,MT,High,High,Medium,Low,High,Medium,Medium,High,Medium,Medium,High,Low
2023,3,MT,High,High,Medium,Low,High,Medium,High,High,Medium,Medium,Medium,Low
2023,4,MT,Critical,High,Medium,Low,High,Medium,Medium,High,Medium,Medium,Medium,Low
2023,5,MT,Critical,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,Low
2023,6,MT,Critical,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low
2023,7,MT,Critical,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Low,Low
2023,8,MT,Critical,Low,Medium,Low,High,Low,Medium,High,Low,Low,Low,Medium
2023,9,MT,Critical,Low,Medium,Low,High,Medium,Medium,High,Medium,Low,Medium,Medium
2023,10,MT,Critical,Medium,Low,Low,High,Medium,High,High,Medium,Low,Medium,High
2023,11,MT,Critical,Low,Low,Low,High,Medium,High,High,Medium,Low,Medium,Medium
2023,12,MT,High,Medium,Low,Low,High,Medium,High,High,Medium,Low,Medium,High
2003,1,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Low
2003,2,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Low
2003,3,PR,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium
2003,4,PR,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium
2003,5,PR,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High
2003,6,PR,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium
2003,7,PR,Critical,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2003,8,PR,Critical,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2003,9,PR,High,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2003,10,PR,High,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2003,11,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2003,12,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2004,1,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2004,2,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2004,3,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,Low
2004,4,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,Medium,Low
2004,5,PR,High,Low,Low,Low,Low,Low,High,Low,Low,Medium,Medium,Low
2004,6,PR,Critical,Low,Low,Medium,Low,Low,High,Low,Low,Medium,Medium,Low
2004,7,PR,Critical,Low,Low,Medium,Low,Low,High,Low,Low,Medium,Medium,Low
2004,8,PR,Critical,Low,Low,Medium,Low,Low,High,Low,Low,Medium,High,Low
2004,9,PR,Critical,Low,Low,Medium,Low,Low,High,Low,Low,Medium,High,Low
2004,10,PR,High,Low,Low,Medium,Low,Low,High,Low,Low,Medium,High,Low
2004,11,PR,Medium,Low,Low,Medium,Low,Low,High,Low,Low,Medium,High,Low
2004,12,PR,Medium,Low,Low,High,Low,Low,High,Low,Low,Medium,High,Low
2005,1,PR,Medium,Low,Low,High,Low,Low,High,Low,Low,Medium,High,Low
2005,2,PR,Medium,Low,Low,High,Low,Low,High,Medium,Low,Medium,High,Low
2005,3,PR,Medium,Low,Low,High,Medium,Low,High,Medium,Low,Medium,High,Low
2005,4,PR,Medium,Low,Low,High,Medium,Low,High,Medium,Low,Medium,High,Low
2005,5,PR,High,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,Low
2005,6,PR,Critical,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2005,7,PR,Critical,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2005,8,PR,Critical,High,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low
2005,9,PR,Critical,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2005,10,PR,High,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Low
2005,11,PR,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,Low
2005,12,PR,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2006,1,PR,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Low
2006,2,PR,Medium,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Low
2006,3,PR,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,High,Medium
2006,4,PR,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium
2006,5,PR,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
2006,6,PR,Critical,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High
2006,7,PR,Critical,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High
